2018-01-11 01:07:56 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL dispose
2018-01-16 16:44:54 INFO  com.thrblock.cino.util.SmartConfig - source:frame.smt
2018-01-16 16:44:54 INFO  com.thrblock.cino.util.SmartConfig - OS Mapped:WINDOWS 10,Location:./cino-frame.properties
2018-01-16 16:44:55 INFO  com.thrblock.cino.CinoAnnotationProcessor - processing annotation of beans
2018-01-16 16:44:55 WARN  com.thrblock.cino.gllayer.GLLayerManager - layer not found:0
2018-01-16 16:44:55 INFO  com.thrblock.cino.gllayer.GLLayerManager - layer auto generated:0
2018-01-16 16:44:55 WARN  com.thrblock.cino.gllayer.GLLayerManager - layer not found:1
2018-01-16 16:44:55 INFO  com.thrblock.cino.gllayer.GLLayerManager - layer auto generated:1
2018-01-16 16:44:58 INFO  com.thrblock.cino.frame.AWTFrameFactory - graphics device you are current using:Win32GraphicsDevice[screen=0]
2018-01-16 16:44:58 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL init
2018-01-16 16:44:58 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - The Renderer you are current using:GeForce MX150/PCIe/SSE2
2018-01-16 16:44:58 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - The Renderer driver version is 4.5.0 NVIDIA 382.64
2018-01-16 16:44:58 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,300,320
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,302,320
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,305,321
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,306,321
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,311,323
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,314,323
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,320,326
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,327,329
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,330,330
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,330,331
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,332,331
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,334,332
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,336,333
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,338,334
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,338,335
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,339,335
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,340,335
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,341,335
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,342,337
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,343,337
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,347,339
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,350,340
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,353,343
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,357,346
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,358,346
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,359,347
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,361,348
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,362,348
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,362,349
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,364,349
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,367,350
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,370,351
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,372,352
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,375,355
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,378,356
2018-01-16 16:45:02 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL reshape:0,0,380,356
