2019-09-26 18:15:58 INFO  com.thrblock.cino.gltransform.GLTransformManager - GL reshape:0,0,2340,1323
2019-09-26 18:16:02 INFO  com.thrblock.cino.gltransform.GLTransformManager - GL reshape:0,0,2336,1323
2019-09-26 18:16:02 INFO  com.thrblock.cino.gltransform.GLTransformManager - GL reshape:0,0,2329,1323
2019-09-26 18:16:02 INFO  com.thrblock.cino.gltransform.GLTransformManager - GL reshape:0,0,2301,1323
2019-09-26 18:16:02 INFO  com.thrblock.cino.gltransform.GLTransformManager - GL reshape:0,0,2298,1323
2019-09-26 18:16:04 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL dispose
2020-09-03 12:19:05 INFO  com.thrblock.sweeper.SweeperApplication - Starting SweeperApplication on LIZEPU-XPS with PID 21392 (C:\Users\lizepu\work\myproject\minesweeper\target\classes started by lizepu in C:\Users\lizepu\work\myproject\minesweeper)
2020-09-03 12:19:05 INFO  com.thrblock.sweeper.SweeperApplication - No active profile set, falling back to default profiles: default
2020-09-03 12:19:06 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'GLScreenSizeChangeListenerHolder' of type [com.thrblock.cino.glprocessor.GLScreenSizeChangeListenerHolder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-03 12:19:06 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'GLInitor' of type [com.thrblock.cino.glinitable.GLInitor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-03 12:19:06 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'storage' of type [com.thrblock.cino.storage.Storage] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-03 12:19:06 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'componentAnnotationProcessor' of type [com.thrblock.cino.annotation.proc.ComponentAnnotationProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-03 12:19:06 INFO  com.thrblock.sweeper.component.SweeperComponent - init-tree:<root>->SweeperComponent
2020-09-03 12:19:06 WARN  com.thrblock.cino.gllayer.GLLayerManager - layer not found:0
2020-09-03 12:19:06 INFO  com.thrblock.cino.gllayer.GLLayerManager - layer auto generated:0
2020-09-03 12:19:06 INFO  com.thrblock.sweeper.entity.Block - init-tree:<root>->SweeperComponent->Block
2020-09-03 12:19:09 INFO  com.thrblock.cino.annotation.proc.CinoAnnotationProcessor - boot component found:com.thrblock.sweeper.component.SweeperComponent@6dd79214
2020-09-03 12:19:09 INFO  com.thrblock.sweeper.component.SweeperPannel - init-tree:<root>->SweeperPannel
2020-09-03 12:19:09 INFO  com.thrblock.rectbase.button.GLImgButton - init-tree:<root>->SweeperPannel->GLImgButton
2020-09-03 12:19:09 WARN  com.thrblock.cino.gllayer.GLLayerManager - layer not found:1
2020-09-03 12:19:09 INFO  com.thrblock.cino.gllayer.GLLayerManager - layer auto generated:1
2020-09-03 12:19:09 INFO  com.thrblock.cino.util.charprocess.CharRectArea - init-tree:<root>->SweeperPannel->CharRectArea
2020-09-03 12:19:09 INFO  com.thrblock.cino.debug.DebugPannel - init-tree:<root>->DebugPannel
2020-09-03 12:19:09 INFO  com.thrblock.cino.util.charprocess.CharRectArea - init-tree:<root>->DebugPannel->CharRectArea
2020-09-03 12:19:11 INFO  com.thrblock.cino.frame.AWTFrameFactory - graphics device you are current using:Win32GraphicsDevice[screen=0]
2020-09-03 12:19:11 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - Opengl debug output enabled.
2020-09-03 12:19:11 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - GL init
2020-09-03 12:19:11 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - The opengl version you are current using:[4, 5]
2020-09-03 12:19:11 INFO  com.thrblock.cino.glprocessor.GLEventProcessor - The Renderer you are current using:Intel(R) UHD Graphics 630
